"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B08201_003E","B08201_004E","B08201_005E","B08201_006E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","county","tract"
"Census Tract 177, Providence County, Rhode Island","","2108","303","","182","","162","","19","","81","","11","","32","","1950","29","68","67514","2126","1457","63","419","711","175","89","1457","980","477","3642","3243","115","0","170","42","3285","147","0","170","0","44","007","017700"
"Census Tract 183, Providence County, Rhode Island","","694","63","","48","","56","","13","","0","","17","","22","","645","16","0","24335","712","747","201","335","182","29","0","747","127","620","1645","1121","241","8","15","152","1258","380","14","15","0","44","007","018300"
"Census Tract 1.02, Providence County, Rhode Island","","2170","421","","202","","201","","76","","46","","172","","85","","2003","150","17","49444","2281","1792","205","853","604","98","32","1792","840","952","5447","3162","541","20","368","410","3424","884","184","397","0","44","007","000102"
"Census Tract 6, Providence County, Rhode Island","","518","5","","84","","41","","83","","0","","0","","0","","482","10","9","36471","535","530","63","343","111","13","0","530","218","312","1711","413","829","8","14","19","427","833","13","19","5","44","007","000600"
"Census Tract 7, Providence County, Rhode Island","","734","41","","79","","93","","87","","22","","22","","31","","705","9","0","18802","745","941","318","402","146","75","0","941","124","817","2395","765","1009","11","23","153","807","1132","60","46","7","44","007","000700"
"Census Tract 145.01, Providence County, Rhode Island","","2462","346","","477","","502","","169","","253","","28","","27","","2382","25","17","124074","2591","1634","32","135","922","399","146","1634","1593","41","5098","4378","434","34","209","14","4392","434","34","223","12","44","007","014501"
"Census Tract 155, Providence County, Rhode Island","62125","2391","461","12480","366","5955","98","2050","134","5070","101","1800","76","2350","31","1060","2203","117","18","64183","2404","1642","279","658","444","181","80","1642","851","791","4144","2604","505","13","251","292","2857","735","24","375","0","44","007","015500"
"Census Tract 159, Providence County, Rhode Island","","1977","213","","209","","153","","178","","103","","0","","0","","1923","40","0","57813","2106","1303","6","652","483","130","32","1303","511","792","3584","2525","632","38","45","160","2668","718","90","53","52","44","007","015900"
"Census Tract 2, Providence County, Rhode Island","","2264","235","","247","","374","","286","","7","","100","","54","","1907","330","0","39640","2375","2068","330","920","757","61","0","2068","737","1331","6741","2463","1619","27","464","505","2909","2111","126","477","0","44","007","000200"
"Census Tract 3, Providence County, Rhode Island","","2839","305","","472","","266","","93","","66","","118","","0","","2493","189","8","37854","3288","2373","504","923","665","266","15","2373","609","1764","7225","3224","1331","318","310","62","3271","1368","348","316","15","44","007","000300"
"Census Tract 12, Providence County, Rhode Island","","1416","163","","64","","132","","55","","135","","190","","0","","1142","152","71","37616","1503","1249","252","747","239","11","0","1249","237","1012","3792","1205","638","38","184","211","1395","846","44","184","0","44","007","001200"
"Census Tract 14, Providence County, Rhode Island","","2722","171","","88","","573","","38","","71","","16","","60","","2183","326","15","35960","2925","2171","478","1322","317","32","22","2171","287","1884","7668","2486","1734","249","568","714","2555","1884","335","1034","0","44","007","001400"
"Census Tract 23, Providence County, Rhode Island","","2091","295","","266","","467","","199","","132","","109","","26","","1887","67","0","62841","2182","1836","212","660","742","222","0","1836","1061","775","4296","3291","460","0","288","94","3339","506","18","344","20","44","007","002300"
"Census Tract 26, Providence County, Rhode Island","","992","256","","118","","61","","0","","65","","26","","15","","855","54","0","29367","1038","1171","354","515","221","81","0","1171","250","921","2835","1341","646","27","150","155","1418","764","39","253","0","44","007","002600"
"Census Tract 36.02, Providence County, Rhode Island","35515","1977","115","2470","137","2830","123","2805","140","1665","199","2640","127","1700","88","1035","691","146","41","119821","2277","605","43","295","167","63","37","605","357","248","5601","3983","353","17","933","259","4211","437","50","1078","17","44","007","003602"
"Census Tract 108, Providence County, Rhode Island","","1731","206","","106","","110","","31","","73","","112","","0","","1424","166","0","32958","1791","1580","484","678","295","89","34","1580","246","1334","4491","2915","648","71","88","253","3057","849","110","104","5","44","007","010800"
"Census Tract 113.02, Providence County, Rhode Island","","2195","304","","251","","241","","119","","139","","30","","22","","2145","50","0","99009","2253","1492","42","326","681","231","212","1492","1241","251","4151","4060","22","5","0","43","4103","65","5","0","0","44","007","011302"
"Census Tract 117.01, Providence County, Rhode Island","","2212","309","","414","","309","","79","","133","","63","","0","","2079","65","37","65526","2240","1742","145","672","530","243","152","1742","1104","638","4615","4214","4","0","194","73","4287","4","26","241","0","44","007","011701"
"Census Tract 124.01, Providence County, Rhode Island","","3608","583","","543","","311","","339","","210","","15","","142","","3545","0","0","69101","3780","2881","79","1066","1208","428","100","2881","2167","714","7372","6568","71","0","151","278","6824","156","232","178","0","44","007","012401"
"Census Tract 152, Providence County, Rhode Island","","761","82","","92","","48","","0","","48","","17","","0","","716","43","0","13447","761","1901","971","724","184","22","0","1901","151","1750","3177","1133","393","187","50","196","1297","501","187","66","0","44","007","015200"
"Census Tract 153, Providence County, Rhode Island","","1010","198","","115","","87","","37","","59","","17","","5","","953","28","5","39028","1018","892","135","508","173","56","20","892","226","666","2251","1462","370","12","0","55","1487","382","55","0","0","44","007","015300"
"Census Tract 158, Providence County, Rhode Island","","1684","277","","359","","165","","91","","78","","16","","25","","1636","26","0","67528","1733","1315","34","512","538","155","76","1315","917","398","3391","3017","24","0","36","34","3051","24","0","70","0","44","007","015800"
"Census Tract 167, Providence County, Rhode Island","","1932","303","","263","","182","","98","","52","","8","","24","","1733","101","10","47708","1968","1282","228","505","403","127","19","1282","356","926","3725","1853","1101","0","97","52","1905","1112","29","97","0","44","007","016700"
"Census Tract 175, Providence County, Rhode Island","","1468","258","","120","","137","","49","","92","","22","","0","","1375","10","26","43516","1523","1227","110","513","421","153","30","1227","589","638","2759","2052","94","18","281","208","2228","199","50","302","0","44","007","017500"
"Census Tract 29, Providence County, Rhode Island","","3080","250","","536","","145","","44","","137","","24","","83","","2528","201","188","36555","3218","2879","463","1221","985","204","6","2879","1146","1733","7272","3170","2130","0","190","433","3497","2470","0","284","70","44","007","002900"
"Census Tract 11, Providence County, Rhode Island","","1345","199","","131","","125","","151","","153","","45","","11","","948","62","25","55380","1374","1059","220","535","284","20","0","1059","156","903","2282","1591","87","0","140","212","1803","145","37","251","12","44","007","001100"
"Census Tract 131.02, Providence County, Rhode Island","","2663","456","","419","","454","","119","","176","","28","","0","","2478","12","14","90847","2792","1983","29","461","749","428","316","1983","1718","265","5159","5031","2","0","55","37","5068","2","24","68","0","44","007","013102"
"Census Tract 104, Providence County, Rhode Island","71540","2909","487","13775","346","4635","245","4755","81","1410","238","4760","0","-666666666","111","1960","2622","93","137","50507","2979","2809","453","1211","909","195","41","2809","1130","1679","6441","4733","515","0","359","413","4968","740","245","404","0","44","007","010400"
"Census Tract 105.02, Providence County, Rhode Island","66540","2516","565","17525","480","8580","282","6900","212","3175","98","2510","67","2480","0","-666666666","2486","0","21","69231","2549","2156","258","696","931","159","112","2156","1096","1060","5071","3777","382","22","600","210","3931","541","36","600","19","44","007","010502"
