Unnamed: 0,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
45,"Census Tract 105.02, Providence County, Rhode Island",,2388,202,,399,,475,,144,,291,,111,,0,,2251,74,11,54922,2388,2211,189,996,809,175,42,2211,1037,1174,4868,4194,319,7,123,180,4374,368,136,139,0,44,7,10502,,,,,94.26298157453937,3.098827470686768,8.548168249660787,1069.84126984127,53.09814563545907,46.90185436454093,86.15447822514379,13.845521774856204,2010
46,"Census Tract 106, Providence County, Rhode Island",,2934,388,,325,,341,,172,,128,,101,,28,,2771,97,13,45536,2993,2712,197,1244,914,274,83,2712,1623,1089,5976,5410,29,51,77,318,5728,80,219,77,0,44,7,10600,,,,,92.58269295021717,3.2408954226528564,7.264011799410029,1276.6497461928934,40.15486725663717,59.845132743362825,90.52878179384204,9.471218206157966,2010
47,"Census Tract 107.01, Providence County, Rhode Island",,1112,123,,187,,136,,63,,62,,14,,0,,1078,20,0,61023,1213,1004,33,347,407,172,45,1004,795,209,2509,2456,0,0,0,38,2480,14,14,0,0,44,7,10701,,,,,88.87056883759274,1.6488046166529264,3.286852589641434,2942.4242424242425,20.81673306772909,79.18326693227091,97.88760462335593,2.112395376644081,2010
48,"Census Tract 107.02, Providence County, Rhode Island",,2239,497,,296,,203,,160,,100,,28,,28,,2208,22,0,57639,2297,1835,172,608,746,250,59,1835,1544,291,4277,4000,99,15,33,112,4112,184,26,39,0,44,7,10702,,,,,96.12538093164996,0.957771005659556,9.373297002724795,966.8604651162792,15.858310626702998,84.141689373297,93.52349777881692,6.476502221183073,2010
49,"Census Tract 108, Providence County, Rhode Island",,1322,165,,34,,118,,58,,52,,69,,28,,1068,71,94,23494,1395,1701,515,707,450,16,13,1701,400,1301,3977,2676,853,31,0,48,2701,884,48,0,0,44,7,10800,,,,,76.55913978494624,5.089605734767025,30.27630805408583,230.29126213592232,76.48442092886538,23.515579071134628,67.28689967312043,32.713100326879555,2010
50,"Census Tract 109, Providence County, Rhode Island",,2130,281,,67,,196,,81,,55,,33,,57,,1579,21,233,39815,2130,1610,324,676,476,66,68,1610,367,1243,4795,3674,277,0,32,138,3792,406,0,32,9,44,7,10900,,,,,74.13145539906102,0.9859154929577464,20.124223602484477,396.9135802469136,77.20496894409938,22.795031055900623,76.62148070907196,23.37851929092805,2010
51,"Census Tract 110, Providence County, Rhode Island",,2713,321,,159,,428,,157,,96,,9,,10,,2012,150,487,38988,2766,1962,422,748,574,204,14,1962,498,1464,6180,4846,463,0,0,141,4923,561,0,0,0,44,7,11000,,,,,72.74041937816341,5.42299349240781,21.50866462793068,364.92890995260666,74.61773700305811,25.382262996941897,78.41423948220064,21.58576051779935,2010
52,"Census Tract 111, Providence County, Rhode Island",,1570,351,,51,,79,,11,,36,,35,,0,,1359,0,128,30000,1602,1348,276,584,365,90,33,1348,390,958,4439,2455,1022,0,54,109,2564,1106,15,54,0,44,7,11100,,,,,84.8314606741573,0.0,20.47477744807121,388.40579710144925,71.06824925816024,28.931750741839764,55.305248929939175,44.694751070060825,2010
53,"Census Tract 112, Providence County, Rhode Island",,2591,295,,431,,123,,259,,58,,57,,22,,2513,0,46,40532,2616,2214,128,898,845,228,115,2214,1191,1023,5525,5137,328,0,7,42,5157,350,0,7,0,44,7,11200,,,,,96.06269113149848,0.0,5.781391147244806,1629.6875,46.2059620596206,53.79403794037941,92.97737556561088,7.022624434389141,2010
54,"Census Tract 113.01, Providence County, Rhode Island",,2307,282,,269,,256,,153,,192,,34,,0,,2249,50,8,63950,2338,1719,130,593,729,150,117,1719,1119,600,4425,4185,130,0,31,79,4252,141,0,67,12,44,7,11301,,,,,96.19332763045335,2.1385799828913603,7.562536358347876,1222.3076923076922,34.904013961605585,65.09598603839441,94.57627118644068,5.423728813559322,2010
55,"Census Tract 113.02, Providence County, Rhode Island",,2004,352,,251,,304,,200,,86,,28,,25,,1974,17,0,80069,2168,1492,60,393,640,232,167,1492,1388,104,4170,4095,0,0,13,43,4138,20,5,13,0,44,7,11302,,,,,91.05166051660515,0.7841328413284132,4.021447721179625,2386.6666666666665,6.970509383378016,93.02949061662198,98.20143884892086,1.7985611510791366,2010
56,"Census Tract 114.01, Providence County, Rhode Island",,3776,486,,823,,513,,163,,277,,43,,0,,3634,60,62,90089,3855,3139,225,747,1390,506,271,3139,2530,609,7971,7289,15,27,388,151,7414,52,47,501,18,44,7,11401,,,,,94.26718547341116,1.556420233463035,7.167887862376553,1295.111111111111,19.401083147499204,80.5989168525008,91.44398444360807,8.55601555639192,2010
57,"Census Tract 114.02, Providence County, Rhode Island",,2163,284,,393,,387,,254,,79,,8,,24,,2079,47,14,100676,2206,1456,31,244,747,308,126,1456,1383,73,4171,4026,0,0,82,28,4054,8,0,91,0,44,7,11402,,,,,94.2429737080689,2.1305530371713512,2.129120879120879,4596.774193548387,5.013736263736264,94.98626373626374,96.52361543994246,3.4763845600575403,2010
58,"Census Tract 114.03, Providence County, Rhode Island",,3298,521,,575,,512,,185,,118,,44,,0,,3115,54,129,69366,3370,2964,99,1022,1325,302,216,2964,2408,556,7029,6792,0,92,11,63,6815,40,92,34,0,44,7,11403,,,,,92.433234421365,1.602373887240356,3.340080971659919,2893.939393939394,18.75843454790823,81.24156545209176,96.62825437473325,3.371745625266752,2010
59,"Census Tract 115, Providence County, Rhode Island",,2840,350,,544,,398,,215,,241,,27,,0,,2767,60,0,62982,2954,2632,206,1103,943,235,145,2632,1537,1095,5940,5605,222,0,75,38,5643,222,38,75,0,44,7,11500,,,,,93.66960054163846,2.0311442112389977,7.826747720364742,1177.6699029126214,41.6033434650456,58.3966565349544,94.36026936026936,5.63973063973064,2010
60,"Census Tract 116, Providence County, Rhode Island",,3089,614,,518,,325,,228,,279,,71,,30,,2984,105,0,89653,3171,2312,90,664,882,528,148,2312,2048,264,6302,5760,171,0,219,98,5858,171,66,251,0,44,7,11600,,,,,94.10280668558816,3.3112582781456954,3.8927335640138407,2468.888888888889,11.418685121107266,88.58131487889274,91.39955569660424,8.600444303395747,2010
61,"Census Tract 117.01, Providence County, Rhode Island",,2329,300,,430,,328,,233,,166,,63,,23,,2209,71,0,66323,2492,1893,120,631,699,306,137,1893,1387,506,4807,4566,94,0,25,122,4688,148,47,54,0,44,7,11701,,,,,88.64365971107544,2.849117174959872,6.339144215530904,1477.5,26.73005810882197,73.26994189117802,94.9864780528396,5.013521947160391,2010
