,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,B19013_001E,B08006_001E,B08201_001E,B08201_002E,B25003_001E,B25003_002E,B25003_003E,state,zip code tabulation area,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,year
49,ZCTA5 02914,206630.0,9795,1118,29755.0,1292,22670.0,1339,25185.0,526,9410.0,666,12015.0,366,5155.0,189,2170.0,,,,9029,557,56,45295.0,9848,8768,1156,8768,4276,4492,44,2914,21.09545686574783,21.75311203319502,18.549597855227884,16.637596899224807,,,91.68359057676686,5.655970755483347,13.184306569343066,658.477508650519,51.231751824817515,48.768248175182485,2015
50,ZCTA5 02915,176895.0,7681,1317,31245.0,1135,25595.0,840,16530.0,688,14950.0,324,6000.0,224,5245.0,29,340.0,,,,7463,100,28,53750.0,7872,7343,573,7343,4605,2738,44,2915,23.03020440046869,23.181076672104403,20.602094240837697,20.52007299270073,,,94.80436991869918,1.2703252032520325,7.803350129374915,1181.500872600349,37.287212311044534,62.712787688955466,2015
51,ZCTA5 02921,,6398,937,,983,,1178,,434,,530,,98,,33,,,,,6244,92,20,98666.0,6573,4217,130,4217,3585,632,44,2921,,,,,,,94.99467518636848,1.3996652974288757,3.0827602561062366,3143.846153846154,14.986957552762629,85.01304244723738,2015
52,ZCTA5 02919,326505.0,14843,2126,51390.0,2044,41975.0,2142,40255.0,1026,24790.0,1023,19135.0,214,6015.0,123,2750.0,,,,14569,122,71,58634.0,15117,11765,744,11765,8080,3685,44,2919,21.997237755170786,22.38968824940048,20.53188131313131,20.331447049312853,,,96.37494211814513,0.8070384335516305,6.323841903952402,1481.3172043010752,31.321716957076074,68.67828304292392,2015
53,ZCTA5 02815,,103,26,,14,,28,,0,,0,,18,,0,,,,,103,0,0,,103,62,0,62,62,0,44,2815,,,,,,,100.0,0.0,0.0,inf,0.0,100.0,2015
54,ZCTA5 02831,,1580,327,,195,,260,,22,,130,,50,,0,,,,,1551,18,11,86696.0,1625,1266,30,1266,1127,139,44,2831,,,,,,,95.44615384615385,1.1076923076923075,2.3696682464454977,4120.0,10.979462875197472,89.02053712480253,2015
55,ZCTA5 02859,,3104,519,,324,,146,,108,,130,,68,,9,,,,,2925,32,19,61204.0,3173,2460,65,2460,1758,702,44,2859,,,,,,,92.1840529467381,1.0085092971950835,2.642276422764228,3684.6153846153848,28.536585365853657,71.46341463414633,2015
56,ZCTA5 02860,474830.0,19978,2822,75920.0,2021,40530.0,1840,35760.0,1172,26270.0,1152,26645.0,433,10355.0,318,7330.0,400300.0,56905.0,7180.0,17832,1049,244,35953.0,20218,17973,3602,17973,6046,11927,44,2860,23.767644408849733,24.045013421432998,20.594289508632137,23.34384858044164,22.448407357559443,54.24690181124881,88.19863487981007,5.188445939262044,20.041172870416737,398.97279289283733,66.36065208924498,33.63934791075502,2015
57,ZCTA5 02916,,4336,585,,928,,595,,429,,178,,107,,26,,,,,4174,74,60,63717.0,4422,3657,222,3657,2456,1201,44,2916,,,,,,,94.39167797376753,1.6734509271822704,6.070549630844955,1547.2972972972973,32.84112660650806,67.15887339349193,2015
58,ZCTA5 02865,179575.0,7814,1228,30950.0,1099,23515.0,1372,29315.0,552,11255.0,504,8745.0,129,1580.0,166,4180.0,,,,7508,152,113,72301.0,8032,6335,315,6335,4663,1672,44,2865,22.9811876119785,23.405672539750753,21.086278586278585,16.311216429699844,,,93.47609561752988,1.8924302788844622,4.972375690607735,1911.111111111111,26.3930544593528,73.60694554064719,2015
