,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,zip code tabulation area,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
33,ZCTA5 02919,315275.0,14238,2282,49880.0,1804,40100.0,1961,41360.0,882,12670.0,797,15210.0,188,3235.0,256,7020.0,,,,13986,67,32,65125,14846,11597,662,11597,7771,3826,29307,26531,549,32,926,657,27166,817,356,1099,0,44,2919,22.143208315774686,22.02153695545766,19.004572634540978,18.725888324873097,,,94.20719385693116,0.45130001347164217,5.70837285504872,1651.8126888217523,32.99129085108218,67.00870914891782,90.52786023816836,9.472139761831643,2019
34,ZCTA5 02804,,957,89,,115,,246,,15,,0,,0,,33,,,,,940,0,17,108672,1026,699,13,699,665,34,1849,1849,0,0,0,0,1849,0,0,0,0,44,2804,,,,,,,91.61793372319687,0.0,1.859799713876967,5276.923076923076,4.86409155937053,95.13590844062946,100.0,0.0,2019
35,ZCTA5 02814,122905.0,4029,467,15835.0,501,15590.0,636,14525.0,260,5630.0,213,3185.0,110,1910.0,42,1110.0,,,,3877,46,21,89531,4161,2978,40,2978,2542,436,7901,7619,29,8,36,178,7797,41,147,63,0,44,2814,30.505088111193846,32.46384297520661,22.494419642857142,15.773993808049536,,,93.1747176159577,1.1055034847392453,1.3431833445265278,7345.0,14.640698455339155,85.35930154466085,96.43083154031136,3.569168459688647,2019
36,ZCTA5 02817,,3290,652,,558,,477,,110,,113,,32,,10,,,,,3203,18,53,119688,3589,2256,0,2256,1853,403,6224,5676,111,0,126,92,5768,140,63,126,0,44,2817,,,,,,,89.24491501811089,0.5015324602953469,0.0,inf,17.863475177304963,82.13652482269504,91.19537275064268,8.804627249357326,2019
37,ZCTA5 02822,,3049,333,,468,,825,,156,,166,,17,,0,,,,,2971,14,36,83024,3343,2301,50,2301,1851,450,6304,5827,13,55,79,110,5920,35,147,92,92,44,2822,,,,,,,88.87227041579419,0.4187855219862399,2.17296827466319,4502.0,19.556714471968707,80.4432855280313,92.43337563451777,7.566624365482233,2019
38,ZCTA5 02835,,2184,306,,240,,285,,211,,325,,76,,41,,,,,2070,80,0,111110,2512,2301,68,2301,1908,393,5494,4965,24,13,392,100,5065,85,52,392,0,44,2835,,,,,,,82.40445859872611,3.1847133757961785,2.955236853541938,3283.8235294117644,17.07953063885267,82.92046936114733,90.3713141609028,9.628685839097196,2019
39,ZCTA5 02813,106755.0,3725,325,11800.0,339,9975.0,560,12775.0,199,4035.0,366,10140.0,145,2330.0,0,-666666666.0,,,,3639,29,26,78209,3879,3282,58,3282,2746,536,7799,7434,3,112,78,172,7578,49,223,121,0,44,2813,28.659060402684563,32.79367469879518,22.14756258234519,24.403131115459882,,,93.81283836040217,0.7476153647847383,1.7672151127361364,5558.620689655172,16.331505179768435,83.66849482023156,95.31991280933453,4.6800871906654695,2019
40,ZCTA5 02840,216510.0,11278,1669,44990.0,1753,33560.0,1535,27000.0,802,10425.0,1233,20205.0,460,5820.0,118,1230.0,,,,9248,254,273,66805,12106,10267,1434,10267,4372,5895,23112,19503,1639,343,413,802,20198,2195,627,548,138,44,2840,19.197552757581132,22.954412624196376,16.014120667522466,15.372120496160662,,,76.39187179910788,2.0981331571121755,13.967078990941854,615.9693165969317,57.416966981591514,42.58303301840849,84.38473520249221,15.615264797507788,2019
41,ZCTA5 02836,,143,44,,0,,22,,0,,60,,5,,0,,,,,143,0,0,-666666666,143,56,0,56,56,0,150,150,0,0,0,0,150,0,0,0,0,44,2836,,,,,,,100.0,0.0,0.0,inf,0.0,100.0,100.0,0.0,2019
42,ZCTA5 02837,,1603,293,,212,,205,,65,,139,,31,,8,,,,,1563,8,0,89353,1799,1561,51,1561,1269,292,3489,3448,19,0,12,10,3458,19,0,22,0,44,2837,,,,,,,86.881600889383,0.44469149527515284,3.267136450992953,2960.7843137254904,18.705957719410634,81.29404228058937,98.82487818859272,1.1751218114072801,2019
